id,kind,glyph,unicode,name,svg_file,status,source_or_suggest,nerdfont,code_refs,i18n_refs,test_refs,files,defined_at,note
I239,symbol,⬤,U+2B24,,,keep_text,,,1,0,0,network.js,,จุดสี — ทำด้วย CSS ได้
I240,symbol,◻,U+25FB,window-restore,svg/window-restore.svg,need_svg,,,1,0,0,panels/panel-ui.js,,
I241,symbol,▣,U+25A3,window-max,svg/window-max.svg,need_svg,,,1,0,0,panels/panel-ui.js,,
I242,emoji,🆃,U+1F183,text-tool,svg/text-tool.svg,need_svg,bx:text,,1,0,0,planner/planner-data.js,,
I243,symbol,⬉,U+2B09,pointer,svg/pointer.svg,need_svg,bx:pointer,,1,0,0,planner/planner-ui.js,,
I244,emoji,✋,U+270B,hand,svg/hand.svg,need_svg,bx:hand,,1,0,0,planner/planner-ui.js,,
I245,symbol,↝,U+219D,arrow-curve,svg/arrow-curve.svg,need_svg,,,1,0,0,planner/planner-ui.js,,
I246,symbol,▯,U+25AF,page-single,svg/page-single.svg,need_svg,,,1,0,0,read-ui.js,,
I247,symbol,█,U+2588,,,keep_text,,,1,0,0,sp-reports.js,,แท่งกราฟตัวอักษรในรายงานบท
I248,symbol,░,U+2591,,,keep_text,,,1,0,0,sp-reports.js,,แท่งกราฟตัวอักษรในรายงานบท
I249,symbol,♀,U+2640,,,keep_text,,,1,0,0,starter/starter-model.js,,สัญลักษณ์เพศ (ข้อมูลตัวละคร)
I250,symbol,♂,U+2642,,,keep_text,,,1,0,0,starter/starter-model.js,,สัญลักษณ์เพศ (ข้อมูลตัวละคร)
I251,symbol,⚧,U+26A7,,,keep_text,,,1,0,0,starter/starter-model.js,,สัญลักษณ์เพศ (ข้อมูลตัวละคร)
I252,emoji,🌱,U+1F331,leaf,svg/leaf.svg,need_svg,bxs:leaf,,1,0,0,starter/starter-model.js,,
I253,symbol,❝,U+275D,quote-left,svg/quote-left.svg,has_svg,bxs:quote-right,,1,0,0,starter/starter-richtext.js,,
I254,emoji,❓,U+2753,help,svg/help.svg,need_svg,bx:help-circle,,1,0,0,starter/starter-steps-def.js,,
I255,emoji,🕓,U+1F553,time,svg/time.svg,need_svg,bx:time,,1,0,0,starter/starter-steps-def.js,,
I256,symbol,▬,U+25AC,gantt,svg/gantt.svg,need_svg,,,1,0,0,timeline-ui.js,,
I257,emoji,🔮,U+1F52E,crystal-ball,svg/crystal-ball.svg,need_svg,,,1,0,0,visual-tags.js,,ไม่มีใน Boxicons
I258,emoji,🕸,U+1F578,network,svg/network.svg,need_svg,,,1,0,0,main.js,,
I259,emoji,🌍,U+1F30D,globe,svg/globe.svg,has_svg,Boxicons,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I260,symbol,↗,U+2197,link-external,svg/link-external.svg,need_svg,bx:link-external,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I261,symbol,⌨,U+2328,keyboard,svg/keyboard.svg,need_svg,bx:keyboard,,0,1,0,languages/k2_th.csv,,
I262,emoji,📗,U+1F4D7,book,svg/book.svg,has_svg,Boxicons,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,
I263,emoji,🎉,U+1F389,,,keep_text,,,0,1,0,languages/k2_en.csv; languages/k2_th.csv,,อีโมจิตกแต่งท้ายประโยค
