name,glyph,note
leaf,🌱,ยังไม่มี icons/svg/leaf.svg — ใช้ตัวนี้แทนไปก่อน
line-curve,⌒,ยังไม่มี icons/svg/line-curve.svg — ใช้ตัวนี้แทนไปก่อน
line-elbow,⌐,ยังไม่มี icons/svg/line-elbow.svg — ใช้ตัวนี้แทนไปก่อน
link-external,↗,ยังไม่มี icons/svg/link-external.svg — ใช้ตัวนี้แทนไปก่อน
log,📜,ยังไม่มี icons/svg/log.svg — ใช้ตัวนี้แทนไปก่อน
magic,✨,ยังไม่มี icons/svg/magic.svg — ใช้ตัวนี้แทนไปก่อน
mask,🎭,ยังไม่มี icons/svg/mask.svg — ใช้ตัวนี้แทนไปก่อน
menu,☰,ยังไม่มี icons/svg/menu.svg — ใช้ตัวนี้แทนไปก่อน
mouse,🖱,ยังไม่มี icons/svg/mouse.svg — ใช้ตัวนี้แทนไปก่อน
move,✥,ยังไม่มี icons/svg/move.svg — ใช้ตัวนี้แทนไปก่อน
network,🕸,ยังไม่มี icons/svg/network.svg — ใช้ตัวนี้แทนไปก่อน
news,📰,ยังไม่มี icons/svg/news.svg — ใช้ตัวนี้แทนไปก่อน
notepad,🗒,ยังไม่มี icons/svg/notepad.svg — ใช้ตัวนี้แทนไปก่อน
outdent,⇤,ยังไม่มี icons/svg/outdent.svg — ใช้ตัวนี้แทนไปก่อน
package,📦,ยังไม่มี icons/svg/package.svg — ใช้ตัวนี้แทนไปก่อน
page-break,▤,ยังไม่มี icons/svg/page-break.svg — ใช้ตัวนี้แทนไปก่อน
page-double,▥,ยังไม่มี icons/svg/page-double.svg — ใช้ตัวนี้แทนไปก่อน
page-header,📑,ยังไม่มี icons/svg/page-header.svg — ใช้ตัวนี้แทนไปก่อน
page-single,▯,ยังไม่มี icons/svg/page-single.svg — ใช้ตัวนี้แทนไปก่อน
palette,🎨,ยังไม่มี icons/svg/palette.svg — ใช้ตัวนี้แทนไปก่อน
panel-hide-all,⬒,ยังไม่มี icons/svg/panel-hide-all.svg — ใช้ตัวนี้แทนไปก่อน
panel-hide-left,◨,ยังไม่มี icons/svg/panel-hide-left.svg — ใช้ตัวนี้แทนไปก่อน
panel-hide-right,⬓,ยังไม่มี icons/svg/panel-hide-right.svg — ใช้ตัวนี้แทนไปก่อน
paperclip,📎,ยังไม่มี icons/svg/paperclip.svg — ใช้ตัวนี้แทนไปก่อน
pause,⏸,ยังไม่มี icons/svg/pause.svg — ใช้ตัวนี้แทนไปก่อน
pen,✍,ยังไม่มี icons/svg/pen.svg — ใช้ตัวนี้แทนไปก่อน
pin,📌,ยังไม่มี icons/svg/pin.svg — ใช้ตัวนี้แทนไปก่อน
play,▶,ยังไม่มี icons/svg/play.svg — ใช้ตัวนี้แทนไปก่อน
plot-hole,🕳,ยังไม่มี icons/svg/plot-hole.svg — ใช้ตัวนี้แทนไปก่อน
plug,🔌,ยังไม่มี icons/svg/plug.svg — ใช้ตัวนี้แทนไปก่อน
plus-plain,✚,ยังไม่มี icons/svg/plus-plain.svg — ใช้ตัวนี้แทนไปก่อน
pointer,👆,ยังไม่มี icons/svg/pointer.svg — ใช้ตัวนี้แทนไปก่อน
printer,🖨,ยังไม่มี icons/svg/printer.svg — ใช้ตัวนี้แทนไปก่อน
radio-on,◉,ยังไม่มี icons/svg/radio-on.svg — ใช้ตัวนี้แทนไปก่อน
receipt,🧾,ยังไม่มี icons/svg/receipt.svg — ใช้ตัวนี้แทนไปก่อน
recycle,♻,ยังไม่มี icons/svg/recycle.svg — ใช้ตัวนี้แทนไปก่อน
redo,↷,ยังไม่มี icons/svg/redo.svg — ใช้ตัวนี้แทนไปก่อน
refresh,🔄,ยังไม่มี icons/svg/refresh.svg — ใช้ตัวนี้แทนไปก่อน
repeat,🔁,ยังไม่มี icons/svg/repeat.svg — ใช้ตัวนี้แทนไปก่อน
return,↩,ยังไม่มี icons/svg/return.svg — ใช้ตัวนี้แทนไปก่อน
rewind,⏪,ยังไม่มี icons/svg/rewind.svg — ใช้ตัวนี้แทนไปก่อน
road,🛣,ยังไม่มี icons/svg/road.svg — ใช้ตัวนี้แทนไปก่อน
rotate-left,↺,ยังไม่มี icons/svg/rotate-left.svg — ใช้ตัวนี้แทนไปก่อน
rotate-right,⤾,ยังไม่มี icons/svg/rotate-right.svg — ใช้ตัวนี้แทนไปก่อน
ruler,📐,ยังไม่มี icons/svg/ruler.svg — ใช้ตัวนี้แทนไปก่อน
scene-block,◧,ยังไม่มี icons/svg/scene-block.svg — ใช้ตัวนี้แทนไปก่อน
selection,⬚,ยังไม่มี icons/svg/selection.svg — ใช้ตัวนี้แทนไปก่อน
